CGG_LABEL_ENCODED,PYEONG,BUILDING_AGE,FLR,BRAND_SCORE,IS_PREMIUM_GU,SUBWAY_SCORE,EDUCATION_PREMIUM
0,10.808324999999998,28.0,10,2,1,5,1
13,9.03265,3.0,6,2,0,4,0
21,15.25205,1.0,6,2,0,3,0
13,9.03265,3.0,5,2,0,4,0
3,25.709475,32.0,14,2,0,2,0
13,5.99555,3.0,2,2,0,4,0
1,25.5794,19.0,6,2,0,2,0
20,18.140925,7.0,8,2,0,4,0
13,5.99555,3.0,5,2,0,4,0
6,18.134875,25.0,19,2,0,3,0
13,9.03265,3.0,4,2,0,4,0
19,16.1051,36.0,10,2,0,4,0
1,25.655025,21.0,5,2,0,2,0
19,25.30715,36.0,10,2,0,4,0
16,25.673175,27.0,17,2,0,3,0
17,16.1414,13.0,18,4,1,4,1
3,25.68225,19.0,8,2,0,2,0
14,18.1379,2.0,5,4,1,5,1
16,25.6762,18.0,9,4,0,3,0
14,18.1379,2.0,5,4,1,5,1
3,25.527975,26.0,17,2,0,2,0
3,18.27705,22.0,5,2,0,2,0
13,9.03265,3.0,5,2,0,4,0
24,25.7004,28.0,9,2,0,3,0
13,5.99555,3.0,7,2,0,4,0
8,14.97375,36.0,2,2,0,3,1
17,25.703425,18.0,11,2,1,4,1
11,18.13064,4.0,27,5,0,3,0
13,9.03265,3.0,6,2,0,4,0
2,15.10685,34.0,7,2,0,3,0
4,25.6278,21.0,13,2,0,3,0
8,34.336775,26.0,2,2,0,3,1
1,25.703425,8.0,35,4,0,2,0
18,34.844975,39.0,5,2,0,3,1
17,12.006225,36.0,1,2,1,4,1
24,25.7004,28.0,9,2,0,3,0
12,20.119275,19.0,5,2,0,4,0
7,18.1137,19.0,1,2,0,3,0
23,5.6437425,5.0,6,2,0,5,0
8,15.17945,38.0,12,2,0,3,1
2,18.14395,22.0,11,2,0,3,0
2,15.10685,34.0,1,2,0,3,0
24,25.531,31.0,15,2,0,3,0
13,5.99555,3.0,6,2,0,4,0
17,25.709475,17.0,18,2,1,4,1
14,25.7004,20.0,9,2,1,5,1
1,18.1448575,18.0,12,2,0,2,0
8,18.13185,24.0,1,2,0,3,1
11,30.8528825,18.0,2,3,0,3,0
11,18.1109775,7.0,5,3,0,3,0
11,18.146975,18.0,2,3,0,3,0
13,5.99555,3.0,7,2,0,4,0
21,25.6278,3.0,1,3,0,3,0
16,18.10765,26.0,24,2,0,3,0
17,25.68225,17.0,21,3,1,4,1
17,37.57655,17.0,22,2,1,4,1
13,9.03265,3.0,3,2,0,4,0
16,25.6278,26.0,21,2,0,3,0
13,9.03265,3.0,3,2,0,4,0
15,25.413025,24.0,14,2,0,4,0
15,18.13064,21.0,17,2,0,4,0
14,19.919625,37.0,3,2,1,5,1
13,9.03265,3.0,7,2,0,4,0
8,15.1008,30.0,7,2,0,3,1
14,48.53915,46.0,8,2,1,5,1
13,9.03265,3.0,7,2,0,4,0
13,9.03265,3.0,2,2,0,4,0
13,9.03265,3.0,3,2,0,4,0
13,9.03265,3.0,3,2,0,4,0
11,18.1242875,6.0,20,5,0,3,0
9,25.661075,34.0,2,2,0,3,0
13,19.76535,38.0,9,3,0,4,0
21,18.04715,22.0,13,2,0,3,0
13,9.03265,3.0,5,2,0,4,0
8,15.1008,30.0,6,2,0,3,1
23,18.11975,25.0,10,2,0,5,0
12,25.70645,3.0,18,2,0,4,0
3,18.1158175,6.0,6,3,0,2,0
12,17.964869999999998,6.0,4,3,0,4,0
17,24.989525,47.0,8,2,1,4,1
3,17.741625,33.0,6,2,0,2,0
13,5.99555,3.0,4,2,0,4,0
3,14.9919,33.0,4,2,0,2,0
18,4.24105,8.0,7,2,0,3,1
13,9.03265,3.0,3,2,0,4,0
4,25.63385,33.0,11,1,0,3,0
12,17.351399999999998,20.0,6,1,0,4,0
13,5.99555,3.0,6,2,0,4,0
21,25.70645,7.0,15,3,0,3,0
13,9.03265,3.0,4,2,0,4,0
9,13.55805,36.0,5,2,0,3,0
13,9.03265,3.0,2,2,0,4,0
6,13.5036,27.0,8,1,0,3,0
13,9.03265,3.0,4,2,0,4,0
19,22.05225,42.0,12,2,0,4,0
13,9.03265,3.0,4,2,0,4,0
7,25.68225,27.0,13,1,0,3,0
11,18.116725,26.0,11,1,0,3,0
19,25.636875,33.0,9,1,0,4,0
17,25.0954,33.0,4,1,1,4,1
6,17.9685,28.0,23,2,0,3,0
5,18.050175,35.0,3,1,0,3,0
13,9.03265,3.0,4,2,0,4,0
13,9.03265,3.0,2,2,0,4,0
3,18.050175,26.0,2,2,0,2,0
