CGG_LABEL_ENCODED,PYEONG,BUILDING_AGE,FLR,BRAND_SCORE,IS_PREMIUM_GU,SUBWAY_SCORE,EDUCATION_PREMIUM
6,5.611375,0.0,15,2,0,3,0
6,5.611375,0.0,14,2,0,3,0
6,5.611375,0.0,11,2,0,3,0
6,5.611375,0.0,18,2,0,3,0
6,5.611375,0.0,13,2,0,3,0
6,5.611375,0.0,12,2,0,3,0
6,5.611375,0.0,9,2,0,3,0
7,18.122775,23.0,7,2,0,3,0
6,5.611375,0.0,17,2,0,3,0
6,5.611375,0.0,15,2,0,3,0
6,5.611375,0.0,14,2,0,3,0
6,5.611375,0.0,17,2,0,3,0
6,5.611375,0.0,18,2,0,3,0
6,5.611375,0.0,17,2,0,3,0
6,5.611375,0.0,14,2,0,3,0
6,5.611375,0.0,13,2,0,3,0
6,5.611375,0.0,12,2,0,3,0
6,5.611375,0.0,11,2,0,3,0
6,5.611375,0.0,9,2,0,3,0
6,5.611375,0.0,8,2,0,3,0
6,5.611375,0.0,7,2,0,3,0
12,18.140925,14.0,12,4,0,4,0
6,5.611375,0.0,10,2,0,3,0
6,5.611375,0.0,9,2,0,3,0
6,5.611375,0.0,5,2,0,3,0
6,5.611375,0.0,5,2,0,3,0
6,5.611375,0.0,11,2,0,3,0
6,5.611375,0.0,4,2,0,3,0
6,5.611375,0.0,10,2,0,3,0
6,11.087835,0.0,14,2,0,3,0
6,11.087835,0.0,15,2,0,3,0
6,11.087835,0.0,16,2,0,3,0
6,5.7133175,0.0,7,2,0,3,0
6,11.087835,0.0,19,2,0,3,0
6,11.087835,0.0,20,2,0,3,0
6,11.087835,0.0,21,2,0,3,0
6,5.7133175,0.0,14,2,0,3,0
6,5.7133175,0.0,22,2,0,3,0
6,11.087835,0.0,5,2,0,3,0
6,11.087835,0.0,6,2,0,3,0
6,5.611375,0.0,19,2,0,3,0
6,5.611375,0.0,20,2,0,3,0
6,5.611375,0.0,4,2,0,3,0
6,5.611375,0.0,12,2,0,3,0
6,5.611375,0.0,5,2,0,3,0
6,5.611375,0.0,20,2,0,3,0
6,5.611375,0.0,17,2,0,3,0
6,5.611375,0.0,15,2,0,3,0
6,5.611375,0.0,10,2,0,3,0
6,5.611375,0.0,5,2,0,3,0
6,5.611375,0.0,4,2,0,3,0
6,5.611375,0.0,20,2,0,3,0
6,5.611375,0.0,12,2,0,3,0
6,5.611375,0.0,11,2,0,3,0
6,5.611375,0.0,10,2,0,3,0
6,5.611375,0.0,6,2,0,3,0
15,40.77397499999999,27.0,6,1,0,4,0
6,5.611375,0.0,18,2,0,3,0
6,5.611375,0.0,16,2,0,3,0
6,5.611375,0.0,9,2,0,3,0
6,5.611375,0.0,19,2,0,3,0
6,5.611375,0.0,13,2,0,3,0
6,5.611375,0.0,7,2,0,3,0
6,5.611375,0.0,20,2,0,3,0
6,5.611375,0.0,17,2,0,3,0
19,9.598325,26.0,14,1,0,4,0
6,5.611375,0.0,16,2,0,3,0
6,5.611375,0.0,14,2,0,3,0
6,5.611375,0.0,13,2,0,3,0
6,5.611375,0.0,12,2,0,3,0
6,5.611375,0.0,4,2,0,3,0
6,5.611375,0.0,8,2,0,3,0
6,5.7133175,0.0,19,2,0,3,0
6,5.611375,0.0,13,2,0,3,0
3,6.7034,0.0,15,2,0,2,0
3,6.7034,0.0,4,2,0,2,0
3,6.7034,0.0,10,2,0,2,0
6,5.7133175,0.0,9,2,0,3,0
3,6.7034,0.0,11,2,0,2,0
3,6.7034,0.0,11,2,0,2,0
3,6.7034,0.0,12,2,0,2,0
3,6.7034,0.0,13,2,0,2,0
3,6.7034,0.0,14,2,0,2,0
3,6.7034,0.0,4,2,0,2,0
3,6.7034,0.0,14,2,0,2,0
3,6.7034,0.0,14,2,0,2,0
3,6.7034,0.0,14,2,0,2,0
6,5.7133175,0.0,4,2,0,3,0
6,5.7133175,0.0,20,2,0,3,0
6,5.7133175,0.0,6,2,0,3,0
3,6.7034,0.0,15,2,0,2,0
3,6.7034,0.0,15,2,0,2,0
3,6.7034,0.0,16,2,0,2,0
6,5.7133175,0.0,19,2,0,3,0
3,6.7034,0.0,16,2,0,2,0
6,5.7133175,0.0,10,2,0,3,0
3,6.7034,0.0,16,2,0,2,0
3,6.7034,0.0,17,2,0,2,0
3,6.7034,0.0,3,2,0,2,0
3,6.7034,0.0,4,2,0,2,0
3,6.7034,0.0,17,2,0,2,0
3,6.7034,0.0,4,2,0,2,0
6,5.7133175,0.0,17,2,0,3,0
3,6.7034,0.0,10,2,0,2,0
3,6.7034,0.0,9,2,0,2,0
3,6.7034,0.0,9,2,0,2,0
3,6.7034,0.0,9,2,0,2,0
3,6.0379000000000005,0.0,16,2,0,2,0
3,6.0379000000000005,0.0,15,2,0,2,0
3,6.0379000000000005,0.0,16,2,0,2,0
6,5.7133175,0.0,13,2,0,3,0
3,6.7034,0.0,15,2,0,2,0
3,6.7034,0.0,3,2,0,2,0
3,6.7034,0.0,4,2,0,2,0
3,6.7034,0.0,5,2,0,2,0
3,6.7034,0.0,5,2,0,2,0
3,6.7034,0.0,5,2,0,2,0
3,6.7034,0.0,5,2,0,2,0
3,6.7034,0.0,6,2,0,2,0
6,11.087835,0.0,13,2,0,3,0
3,6.7034,0.0,7,2,0,2,0
3,6.7034,0.0,7,2,0,2,0
6,5.7133175,0.0,11,2,0,3,0
3,6.7034,0.0,7,2,0,2,0
3,6.7034,0.0,4,2,0,2,0
6,5.7133175,0.0,23,2,0,3,0
6,5.7133175,0.0,12,2,0,3,0
3,6.7034,0.0,7,2,0,2,0
3,6.7034,0.0,7,2,0,2,0
3,6.7034,0.0,8,2,0,2,0
3,6.7034,0.0,8,2,0,2,0
6,5.7133175,0.0,11,2,0,3,0
6,5.7133175,0.0,10,2,0,3,0
3,6.7034,0.0,8,2,0,2,0
3,6.7034,0.0,5,2,0,2,0
3,6.7034,0.0,5,2,0,2,0
6,5.7133175,0.0,15,2,0,3,0
3,6.7034,0.0,10,2,0,2,0
3,6.7034,0.0,12,2,0,2,0
3,6.7034,0.0,12,2,0,2,0
3,6.7034,0.0,12,2,0,2,0
2,25.6232625,22.0,4,2,0,3,0
6,5.7133175,0.0,15,2,0,3,0
3,6.7034,0.0,3,2,0,2,0
3,6.7034,0.0,12,2,0,2,0
3,6.7034,0.0,13,2,0,2,0
3,6.7034,0.0,13,2,0,2,0
3,6.7034,0.0,13,2,0,2,0
3,6.7034,0.0,14,2,0,2,0
6,5.7133175,0.0,13,2,0,3,0
3,6.7034,0.0,14,2,0,2,0
3,6.7034,0.0,3,2,0,2,0
6,5.7133175,0.0,12,2,0,3,0
6,5.7133175,0.0,5,2,0,3,0
6,5.7133175,0.0,10,2,0,3,0
6,5.7133175,0.0,9,2,0,3,0
6,5.7133175,0.0,14,2,0,3,0
6,5.7133175,0.0,6,2,0,3,0
6,5.7133175,0.0,22,2,0,3,0
6,5.7133175,0.0,13,2,0,3,0
15,17.9685,24.0,11,2,0,4,0
6,5.7133175,0.0,11,2,0,3,0
6,5.7133175,0.0,10,2,0,3,0
6,5.7133175,0.0,14,2,0,3,0
6,5.7133175,0.0,8,2,0,3,0
3,6.7034,0.0,11,2,0,2,0
3,6.7034,0.0,10,2,0,2,0
3,6.7034,0.0,5,2,0,2,0
3,6.7034,0.0,10,2,0,2,0
3,6.7034,0.0,6,2,0,2,0
6,5.7133175,0.0,7,2,0,3,0
3,6.7034,0.0,6,2,0,2,0
3,6.7034,0.0,3,2,0,2,0
6,5.7133175,0.0,14,2,0,3,0
3,6.7034,0.0,6,2,0,2,0
6,5.7133175,0.0,10,2,0,3,0
6,5.7133175,0.0,9,2,0,3,0
6,5.7133175,0.0,7,2,0,3,0
3,6.7034,0.0,6,2,0,2,0
3,6.7034,0.0,7,2,0,2,0
6,5.7133175,0.0,11,2,0,3,0
15,25.652,25.0,8,2,0,4,0
6,5.7133175,0.0,9,2,0,3,0
3,6.7034,0.0,8,2,0,2,0
3,6.7034,0.0,8,2,0,2,0
6,5.7133175,0.0,4,2,0,3,0
6,5.7133175,0.0,20,2,0,3,0
6,5.7133175,0.0,19,2,0,3,0
3,6.7034,0.0,8,2,0,2,0
3,6.7034,0.0,9,2,0,2,0
3,6.7034,0.0,9,2,0,2,0
6,5.7133175,0.0,10,2,0,3,0
3,6.7034,0.0,9,2,0,2,0
6,5.7133175,0.0,17,2,0,3,0
3,6.7034,0.0,3,2,0,2,0
3,6.7034,0.0,9,2,0,2,0
6,5.7133175,0.0,13,2,0,3,0
3,6.0379000000000005,0.0,5,2,0,2,0
6,5.7133175,0.0,6,2,0,3,0
6,5.611375,0.0,20,2,0,3,0
6,5.611375,0.0,17,2,0,3,0
6,5.611375,0.0,13,2,0,3,0
6,5.611375,0.0,10,2,0,3,0
13,34.78145,14.0,7,2,0,4,0
6,5.611375,0.0,8,2,0,3,0
6,5.611375,0.0,19,2,0,3,0
6,5.611375,0.0,13,2,0,3,0
21,17.9685,28.0,20,2,0,3,0
6,5.611375,0.0,10,2,0,3,0
6,5.611375,0.0,9,2,0,3,0
6,5.611375,0.0,5,2,0,3,0
2,18.14395,21.0,12,2,0,3,0
1,25.691325000000003,23.0,14,2,0,2,0
6,5.611375,0.0,17,2,0,3,0
6,5.611375,0.0,6,2,0,3,0
6,5.611375,0.0,7,2,0,3,0
6,5.611375,0.0,19,2,0,3,0
6,5.611375,0.0,15,2,0,3,0
6,5.611375,0.0,12,2,0,3,0
6,5.611375,0.0,20,2,0,3,0
6,5.611375,0.0,19,2,0,3,0
6,5.611375,0.0,17,2,0,3,0
6,5.611375,0.0,14,2,0,3,0
6,5.611375,0.0,11,2,0,3,0
6,5.611375,0.0,6,2,0,3,0
6,5.611375,0.0,4,2,0,3,0
6,5.611375,0.0,16,2,0,3,0
6,5.611375,0.0,11,2,0,3,0
6,5.611375,0.0,16,2,0,3,0
6,5.611375,0.0,17,2,0,3,0
6,5.611375,0.0,8,2,0,3,0
6,5.611375,0.0,9,2,0,3,0
6,5.7133175,0.0,11,2,0,3,0
6,5.7133175,0.0,9,2,0,3,0
15,18.14395,13.0,5,4,0,4,0
6,5.7133175,0.0,12,2,0,3,0
6,5.7133175,0.0,23,2,0,3,0
6,5.7133175,0.0,11,2,0,3,0
6,5.7133175,0.0,13,2,0,3,0
6,5.7133175,0.0,5,2,0,3,0
6,5.7133175,0.0,6,2,0,3,0
6,5.7133175,0.0,8,2,0,3,0
6,5.7133175,0.0,9,2,0,3,0
6,11.087835,0.0,10,2,0,3,0
6,5.7133175,0.0,6,2,0,3,0
6,5.7133175,0.0,8,2,0,3,0
6,11.087835,0.0,5,2,0,3,0
6,11.087835,0.0,6,2,0,3,0
6,5.7133175,0.0,14,2,0,3,0
6,11.087835,0.0,10,2,0,3,0
6,11.087835,0.0,11,2,0,3,0
6,5.7133175,0.0,5,2,0,3,0
0,27.8179,11.0,10,4,1,5,1
18,19.477975,21.0,7,2,0,3,1
6,5.611375,0.0,14,2,0,3,0
19,18.007825,28.0,19,2,0,4,0
6,5.611375,0.0,12,2,0,3,0
6,5.611375,0.0,10,2,0,3,0
18,17.977574999999998,20.0,8,2,0,3,1
4,25.6399,18.0,9,1,0,3,0
12,25.3364925,20.0,6,2,0,4,0
6,5.7133175,0.0,10,2,0,3,0
6,5.611375,0.0,15,2,0,3,0
12,25.667125,21.0,8,3,0,4,0
6,5.611375,0.0,4,2,0,3,0
6,5.611375,0.0,15,2,0,3,0
6,18.056225,28.0,11,1,0,3,0
6,5.611375,0.0,14,2,0,3,0
13,25.70282,10.0,12,5,0,4,0
1,29.0279,43.0,4,3,0,2,0
6,5.611375,0.0,12,2,0,3,0
6,5.611375,0.0,10,2,0,3,0
6,5.611375,0.0,9,2,0,3,0
6,5.611375,0.0,8,2,0,3,0
6,5.611375,0.0,17,2,0,3,0
6,5.611375,0.0,16,2,0,3,0
6,5.611375,0.0,11,2,0,3,0
6,5.611375,0.0,6,2,0,3,0
6,5.611375,0.0,8,2,0,3,0
6,5.611375,0.0,18,2,0,3,0
6,5.611375,0.0,14,2,0,3,0
6,5.611375,0.0,12,2,0,3,0
6,5.611375,0.0,7,2,0,3,0
6,5.611375,0.0,19,2,0,3,0
6,5.611375,0.0,10,2,0,3,0
6,5.611375,0.0,22,2,0,3,0
6,5.611375,0.0,17,2,0,3,0
6,5.611375,0.0,15,2,0,3,0
6,5.611375,0.0,13,2,0,3,0
6,5.611375,0.0,12,2,0,3,0
6,5.611375,0.0,10,2,0,3,0
6,5.611375,0.0,15,2,0,3,0
6,5.611375,0.0,17,2,0,3,0
6,5.611375,0.0,5,2,0,3,0
6,5.611375,0.0,6,2,0,3,0
6,5.611375,0.0,19,2,0,3,0
6,5.611375,0.0,17,2,0,3,0
6,5.611375,0.0,16,2,0,3,0
6,5.611375,0.0,5,2,0,3,0
6,5.611375,0.0,19,2,0,3,0
6,5.611375,0.0,10,2,0,3,0
6,5.611375,0.0,8,2,0,3,0
6,5.611375,0.0,7,2,0,3,0
6,5.611375,0.0,6,2,0,3,0
6,5.611375,0.0,5,2,0,3,0
6,5.611375,0.0,20,2,0,3,0
11,25.6662175,12.0,5,2,0,3,0
6,5.611375,0.0,18,2,0,3,0
16,18.044125,15.0,8,3,0,3,0
6,5.611375,0.0,13,2,0,3,0
15,18.08345,9.0,13,3,0,4,0
13,24.910875,29.0,5,2,0,4,0
6,5.611375,0.0,15,2,0,3,0
6,5.611375,0.0,14,2,0,3,0
6,5.611375,0.0,11,2,0,3,0
3,25.703425,20.0,25,3,0,2,0
6,5.611375,0.0,18,2,0,3,0
24,25.6883,22.0,2,2,0,3,0
6,5.611375,0.0,13,2,0,3,0
6,5.611375,0.0,12,2,0,3,0
6,5.611375,0.0,9,2,0,3,0
6,5.611375,0.0,7,2,0,3,0
6,5.7133175,0.0,10,2,0,3,0
6,5.7133175,0.0,4,2,0,3,0
6,5.7133175,0.0,13,2,0,3,0
6,5.7133175,0.0,6,2,0,3,0
6,5.7133175,0.0,9,2,0,3,0
3,6.0379000000000005,0.0,5,2,0,2,0
3,6.0379000000000005,0.0,6,2,0,2,0
3,6.0379000000000005,0.0,7,2,0,2,0
3,6.0379000000000005,0.0,11,2,0,2,0
6,5.7133175,0.0,8,2,0,3,0
3,6.0379000000000005,0.0,11,2,0,2,0
3,6.0379000000000005,0.0,13,2,0,2,0
3,6.0379000000000005,0.0,14,2,0,2,0
3,6.0379000000000005,0.0,15,2,0,2,0
19,25.606625,8.0,13,5,0,4,0
3,6.0379000000000005,0.0,15,2,0,2,0
3,6.0379000000000005,0.0,3,2,0,2,0
3,6.0379000000000005,0.0,3,2,0,2,0
6,5.611375,0.0,11,2,0,3,0
8,14.97375,35.0,5,2,0,3,1
6,5.611375,0.0,5,2,0,3,0
6,5.611375,0.0,15,2,0,3,0
6,5.611375,0.0,12,2,0,3,0
6,5.611375,0.0,20,2,0,3,0
22,25.595735,8.0,8,5,0,5,0
6,5.611375,0.0,19,2,0,3,0
6,5.611375,0.0,17,2,0,3,0
1,20.228175,42.0,5,2,0,2,0
6,5.611375,0.0,14,2,0,3,0
6,5.611375,0.0,11,2,0,3,0
6,5.611375,0.0,6,2,0,3,0
6,5.611375,0.0,4,2,0,3,0
3,6.0379000000000005,0.0,13,2,0,2,0
3,6.0379000000000005,0.0,12,2,0,2,0
3,6.0379000000000005,0.0,11,2,0,2,0
