,Random Forest,XGBoost,Linear Regression
PYEONG,0.33052418264157957,0.053546716,0.3378574915371648
IS_PREMIUM_GU,0.1588554664383436,0.6652696,0.22096957677209506
BUILDING_AGE,0.1363447862147215,0.02411999,0.011929532499252774
SUBWAY_SCORE,0.12564011833959815,0.09933886,0.15574274656243067
CGG_LABEL_ENCODED,0.10487708913218416,0.029301232,0.05144729646942286
BRAND_SCORE,0.06157658182145675,0.020004094,0.12845976374683746
EDUCATION_PREMIUM,0.045017033869923895,0.10436714,0.024079681554069948
FLR,0.03716474154219235,0.004052398,0.06951391085872625
